player_name,exp_whiff_rate,n,exp_whiff_rate_FF,exp_whiff_rate_SI,exp_whiff_rate_SL,exp_whiff_rate_CH,exp_whiff_rate_CU,exp_whiff_rate_FC,n_FF,n_SI,n_SL,n_CH,n_CU,n_FC,f_p_str,exp_HR_rate,n1,exp_HR_rate_FF,exp_HR_rate_SI,exp_HR_rate_SL,exp_HR_rate_CH,exp_HR_rate_CU,exp_HR_rate_FC,n_FF1,n_SI1,n_SL1,n_CH1,n_CU1,n_FC1
Nick Mears,0.3208163265306122,49,0.27,0.1,0,0,0.46,0,34,1,0,0,14,0,0.4230769230769231,0.04,26,0.04,0,0,0,0.04,0,18,0,0,0,8,0
Alex Reyes,0.31943396226415094,159,0.27,0.2,0.42,0.44,0.51,0,82,25,28,5,19,0,0.47674418604651164,0.027209302325581393,86,0.03,0.02,0.03,0.01,0.02,0,44,12,19,1,10,0
Dan Altavilla,0.31806451612903225,155,0.26,0,0.36,0,0,0,65,0,90,0,0,0,0.5955056179775281,0.04,89,0.04,0,0.04,0,0,0,39,0,50,0,0,0
J.P. Feyereisen,0.31763888888888886,72,0.26,0,0.43,0.45,0,0,49,0,11,12,0,0,0.5945945945945946,0.02945945945945946,37,0.04,0,0.01,0.01,0,0,24,0,7,6,0,0
Shaun Anderson,0.31698275862068964,116,0.23,0.19,0.39,0.24,0,0,42,2,63,9,0,0,0.6119402985074627,0.02397058823529412,68,0.03,0.03,0.02,0.04,0,0,18,1,45,4,0,0
Tanner Scott,0.31675862068965516,145,0.25,0.16,0.42,0,0,0,85,2,58,0,0,0,0.5057471264367817,0.024942528735632182,87,0.03,0.02,0.02,0,0,0,43,4,40,0,0,0
Michael Feliz,0.31666666666666665,18,0.24,0,0.45,0.3,0,0,10,0,6,2,0,0,0.75,0.03833333333333333,12,0.04,0,0.03,0.04,0,0,9,0,2,1,0,0
Connor Brogdon,0.3163157894736842,95,0.26,0,0,0.37,0,0.32,40,0,0,41,0,14,0.5813953488372093,0.039767441860465116,43,0.04,0,0,0.03,0,0.07,18,0,0,19,0,6
Jose Leclerc,0.315,16,0.31,0,0.38,0.22,0,0,8,0,5,3,0,0,0.3,0.025,10,0.03,0,0.02,0.01,0,0,6,0,3,1,0,0
Dinelson Lamet,0.3148178137651822,494,0.2,0.16,0.42,0,0,0,183,45,266,0,0,0,0.6591760299625468,0.0351685393258427,267,0.03,0.03,0.04,0,0,0,102,27,138,0,0,0
Sean Reid-Foley,0.3147457627118644,59,0.31,0,0.35,0.07,0,0,38,0,19,2,0,0,0.5172413793103449,0.03892857142857143,28,0.04,0,0.04,0.01,0,0,15,0,12,1,0,0
Craig Kimbrel,0.31469026548672563,113,0.29,0,0,0.38,0,0,82,0,0,31,0,0,0.5774647887323944,0.03585714285714286,70,0.04,0,0,0,0.03,0,41,0,0,0,29,0
Jose Suarez,0.31461538461538463,39,0.2,0.12,0.39,0.48,0.39,0,15,5,2,14,3,0,0.64,0.019583333333333335,24,0.03,0.03,0,0.01,0,0,9,4,0,8,3,0
Luis Avilan,0.3145454545454546,66,0.16,0.18,0,0.37,0.19,0,3,15,0,47,1,0,0.7435897435897436,0.023333333333333334,39,0.03,0.03,0,0.02,0.04,0,1,10,0,27,1,0
Justin Grimm,0.31341463414634146,41,0.25,0,0.37,0,0.17,0,11,0,25,0,5,0,0.48148148148148145,0.028888888888888884,27,0.04,0,0.02,0,0.04,0,9,0,15,0,3,0
Hector Neris,0.3115217391304348,184,0.21,0.14,0,0.43,0,0,78,16,0,90,0,0,0.6019417475728155,0.032475247524752476,101,0.05,0.02,0,0.02,0,0,42,10,0,49,0,0
Corbin Burnes,0.31151982378854626,454,0.28,0.17,0.55,0.36,0.48,0.3,9,141,58,52,34,160,0.5352697095435685,0.023070539419087138,241,0.02,0.03,0.02,0.02,0.02,0.02,5,74,31,23,22,86
Pedro Strop,0.3113636363636364,22,0.21,0.14,0.47,0.35,0,0.33,3,5,6,3,0,5,0.42857142857142855,0.02142857142857143,14,0.05,0.03,0.01,0.01,0,0.02,2,3,5,2,0,2
Kenta Maeda,0.3099818181818182,550,0.17,0.15,0.34,0.36,0.36,0.21,73,30,247,174,10,16,0.6329588014981273,0.03332089552238806,268,0.05,0.03,0.04,0.02,0.02,0.04,38,13,107,96,6,8
Pierce Johnson,0.30948148148148147,135,0.2,0.16,0,0,0.42,0,4,54,0,0,77,0,0.65,0.03975,80,0.02,0.04,0,0,0.04,0,1,33,0,0,46,0
Trevor Bauer,0.3087686567164179,536,0.29,0.2,0.35,0.37,0,0.3,214,42,92,92,0,96,0.5905797101449275,0.037292418772563174,277,0.05,0.05,0.02,0.03,0.02,0.04,109,27,55,1,50,35
Ryne Stanek,0.30797752808988765,89,0.19,0,0.45,0.39,0,0,44,0,25,20,0,0,0.5833333333333334,0.03893617021276596,47,0.05,0,0.03,0.03,0,0,21,0,15,11,0,0
Josh Taylor,0.30686567164179107,67,0.23,0.21,0.38,0,0,0,27,5,35,0,0,0,0.6111111111111112,0.022777777777777775,36,0.03,0.01,0.02,0,0,0,14,4,18,0,0,0
A.J. Cole,0.30606217616580317,193,0.21,0,0.4,0.27,0.44,0.24,68,0,87,9,3,26,0.5,0.049895833333333334,96,0.05,0,0.04,0.03,0.02,0.11,23,0,52,6,3,12
Robbie Ray,0.3056483516483517,455,0.22,0.14,0.4,0.22,0.39,0,209,13,159,7,67,0,0.5153846153846153,0.04478927203065135,261,0.05,0.04,0.04,0.05,0.03,0,146,14,76,2,23,0
Tyler Kinley,0.305632183908046,174,0.13,0,0.38,0.34,0,0,50,0,113,11,0,0,0.5894736842105263,0.0340625,96,0.04,0,0.03,0.04,0,0,32,0,57,7,0,0
Luke Bard,0.3044444444444444,36,0.21,0,0.38,0,0,0,16,0,20,0,0,0,0.6086956521739131,0.029565217391304344,23,0.04,0,0.02,0,0,0,11,0,12,0,0,0
Adam Morgan,0.30323529411764705,102,0.13,0.15,0.42,0.27,0.24,0,15,15,49,21,2,0,0.6379310344827587,0.04051724137931035,58,0.04,0.02,0.05,0.03,0.04,0,15,7,26,9,1,0
Jacob Barnes,0.3031506849315069,146,0.24,0,0,0.15,0,0.34,50,0,0,2,0,94,0.5769230769230769,0.03397435897435897,78,0.04,0,0,0.03,0,0.03,31,0,0,1,0,46
Kevin Ginkel,0.30289473684210533,152,0.2,0,0.47,0.45,0,0,94,0,57,1,0,0,0.6052631578947368,0.03974025974025974,77,0.04,0,0.04,0.02,0,0,46,0,30,1,0,0
Sam Howard,0.30206060606060603,165,0.18,0,0.37,0,0,0,59,0,106,0,0,0,0.5222222222222223,0.05,90,0.05,0,0.05,0,0,0,43,0,47,0,0,0
Joe Kelly,0.30188405797101453,69,0.22,0.12,0,0.37,0,0,8,14,0,47,0,0,0.4186046511627907,0.027906976744186046,43,0.03,0.02,0,0,0.03,0,8,9,0,0,26,0
Liam Hendriks,0.30173913043478257,207,0.25,0,0.44,0,0.47,0,153,0,39,0,15,0,0.6483516483516484,0.03736263736263737,91,0.04,0,0.04,0,0.02,0,64,0,15,0,12,0
Zack Burdi,0.30142857142857143,84,0.25,0.17,0.37,0.36,0,0,42,3,27,12,0,0,0.6486486486486487,0.033783783783783786,37,0.03,0,0.04,0.03,0,0,17,0,14,6,0,0
Keynan Middleton,0.3003846153846154,104,0.25,0,0.45,0.34,0,0,69,0,19,16,0,0,0.660377358490566,0.03830188679245283,53,0.04,0,0.03,0.04,0,0,34,0,9,10,0,0
Nate Pearson,0.29992700729927,137,0.25,0,0.37,0.26,0.42,0,72,0,49,11,5,0,0.5185185185185185,0.036543209876543206,81,0.04,0,0.03,0.04,0.03,0,50,0,27,3,1,0
Adrian Morejon,0.29986754966887413,151,0.22,0,0.38,0.45,0.27,0,82,0,21,35,13,0,0.6625,0.026375,80,0.03,0,0.02,0.03,0.01,0,40,0,15,18,7,0
Ryan Helsley,0.2996703296703297,91,0.2,0,0,0.54,0.34,0.39,43,0,0,4,13,31,0.6078431372549019,0.033529411764705884,51,0.03,0,0,0.03,0.02,0.05,23,0,0,1,12,15
Nick Nelson,0.29944444444444446,180,0.25,0,0.43,0.32,0.46,0,95,0,23,59,3,0,0.5978260869565217,0.031208791208791206,91,0.04,0,0.01,0.03,0.02,0,45,0,16,28,2,0
